id,source_id,title,profiles,na_profiles,risk_level,severity_label,description,audit_method,evidence_required,evidence_files,script_path,recommendation
DBM-011,11,원격 접속에 대한 접근 제어 여부,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,DB 서버 원격 접속이 허가된 IP/계정으로만 제한되는지 점검한다.,evidence_file,True,remote_access.txt,shell_script/dbms/{profile}/DBM-011.sh,"원격 접속 허용 IP 및 계정을 최소화하고, 방화벽/ACL로 접근을 제한한다."
DBM-012,12,취약한 운영체제 역할 인증 기능 비활성화,oracle|mssql|mysql|postgresql|altibase|tibero,cloud_dbms,3,MEDIUM,OS 인증을 통한 DB 접근(예: Oracle OS 인증)이 비활성화되어 있는지 점검한다.,evidence_file,True,remote_access.txt|roles.txt,shell_script/dbms/{profile}/DBM-012.sh,"OS 인증 기반 DB 접근 기능을 비활성화하고, DB 자체 인증을 사용한다."
DBM-013,13,Public Role에 불필요한 권한 제거,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,3,MEDIUM,PUBLIC 롤에 불필요한 시스템 권한 또는 객체 권한이 부여되어 있는지 점검한다.,evidence_file,True,public_role_privileges.txt|roles.txt,shell_script/dbms/{profile}/DBM-013.sh,PUBLIC 롤에서 불필요한 권한을 회수하여 최소 권한 원칙을 준수한다.
DBM-014,14,최신 보안패치와 벤더 권고사항 적용 여부,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,DBMS에 최신 보안 패치가 적용되어 있는지 점검한다.,evidence_file,True,patch_status.txt,shell_script/dbms/{profile}/DBM-014.sh,DBMS 벤더의 최신 보안 패치 및 Critical Patch Update(CPU)를 정기적으로 적용한다.
DBM-015,15,업무상 불필요한 시스템 테이블 접근 권한 제거,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,3,MEDIUM,일반 사용자가 시스템 테이블 또는 데이터 딕셔너리에 불필요하게 접근할 수 있는지 점검한다.,evidence_file,True,system_table_privileges.txt,shell_script/dbms/{profile}/DBM-015.sh,일반 계정의 시스템 테이블/딕셔너리 접근 권한을 최소화한다.
DBM-016,16,이전 비밀번호 재사용 요구사항 충족 여부,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,3,MEDIUM,이전에 사용한 비밀번호의 재사용이 제한되는지 점검한다.,evidence_file,True,password_policy.txt|password_reuse_policy.txt,shell_script/dbms/{profile}/DBM-016.sh,최근 사용한 N개(예: 4개) 비밀번호의 재사용을 금지하는 정책을 적용한다.
DBM-017,17,사용자별 계정 분리,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,3,MEDIUM,업무별·사용자별 개인 계정이 분리되어 있고 공용 계정 사용 여부를 점검한다.,evidence_file,True,users.txt|admin_users.txt,shell_script/dbms/{profile}/DBM-017.sh,업무별·개인별 계정을 분리하고 공용 계정 사용을 금지한다.
DBM-018,18,업무상 불필요한 ODBC/OLE-DB 데이터 소스 및 드라이버 제거,mssql,cloud_dbms|oracle|mysql|postgresql|altibase|tibero,2,LOW,불필요한 ODBC/OLE-DB 데이터 소스 및 드라이버가 설치·활성화되어 있는지 점검한다.,evidence_file,True,remote_access.txt,shell_script/dbms/{profile}/DBM-018.sh,업무상 사용하지 않는 ODBC/OLE-DB 드라이버 및 데이터 소스를 제거한다.
DBM-019,19,설정 파일 및 중요정보가 포함된 파일의 접근 권한 설정 적절성,oracle|mssql|mysql|postgresql|altibase|tibero,cloud_dbms,3,MEDIUM,"DB 설정 파일, 비밀번호 파일 등의 파일 접근 권한이 적절히 설정되어 있는지 점검한다.",evidence_file,True,file_permissions.txt,shell_script/dbms/{profile}/DBM-019.sh,"설정 파일 권한을 600 또는 640으로 제한하고, 소유자를 DB 계정으로 설정한다."
DBM-020,20,불필요하게 WITH GRANT OPTION 옵션이 설정된 권한 제거,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,3,MEDIUM,WITH GRANT OPTION으로 부여된 권한이 필요 이상으로 있는지 점검한다.,evidence_file,True,roles.txt|public_role_privileges.txt,shell_script/dbms/{profile}/DBM-020.sh,"WITH GRANT OPTION은 최소한의 계정에만 부여하고, 불필요한 경우 회수한다."
DBM-021,21,서비스 지원이 종료된 EOS 시스템 및 장비 교체 여부,oracle|mssql|mysql|postgresql|altibase|tibero,cloud_dbms,4,HIGH,DBMS 버전이 EOS(End of Support) 또는 EOL(End of Life)에 도달했는지 점검한다.,evidence_file,True,patch_status.txt,shell_script/dbms/{profile}/DBM-021.sh,EOS/EOL에 도달한 DBMS 버전은 지원 버전으로 업그레이드한다.
DBM-022,22,데이터베이스 구동 계정의 umask 설정 미흡,oracle|mysql|postgresql|altibase|tibero,cloud_dbms|mssql,2,LOW,DBMS 구동 계정의 umask 설정이 적절한지(022 이상) 점검한다.,evidence_file,True,service_account.txt,shell_script/dbms/{profile}/DBM-022.sh,DBMS 구동 계정의 umask를 022 이상으로 설정한다.
DBM-023,23,업무상 불필요한 데이터베이스 Object 제거,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,2,LOW,"불필요한 샘플 DB, 테스트 테이블, 미사용 프로시저 등이 존재하는지 점검한다.",evidence_file,True,object_list.txt,shell_script/dbms/{profile}/DBM-023.sh,"불필요한 샘플 DB, 테스트 스키마, 미사용 오브젝트를 제거한다."
DBM-024,24,데이터베이스의 자원 사용 제한 설정 미흡,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,2,LOW,"세션 수, 메모리, CPU 등 자원 사용 제한 설정이 적절한지 점검한다.",evidence_file,True,resource_limit.txt,shell_script/dbms/{profile}/DBM-024.sh,"계정별 세션, CPU, 메모리 사용 제한(PROFILE)을 설정하여 자원 고갈을 방지한다."
DBM-025,25,Audit Table에 대한 접근 제어 미흡,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,3,MEDIUM,감사 테이블에 대한 접근 권한이 최소화되어 있는지 점검한다.,evidence_file,True,audit_table_privileges.txt,shell_script/dbms/{profile}/DBM-025.sh,감사 테이블 접근 권한을 DBA 또는 감사 담당자에게만 부여한다.
DBM-026,26,SA 계정에 대한 보안설정 미흡,mssql,cloud_dbms|oracle|mysql|postgresql|altibase|tibero,4,HIGH,MSSQL SA 계정이 비활성화되거나 강력한 비밀번호가 설정되어 있는지 점검한다.,evidence_file,True,sa_status.txt,shell_script/dbms/{profile}/DBM-026.sh,"SA 계정을 비활성화하거나, 강력한 비밀번호를 설정하고 사용을 최소화한다."
DBM-027,27,데이터베이스 접속 시 통신구간에 비밀번호 평문 노출,cloud_dbms|oracle|mssql|mysql|postgresql|altibase|tibero,,4,HIGH,DB 접속 시 통신 구간(클라이언트-서버)에서 비밀번호가 평문으로 전송되는지 점검한다.,evidence_file,True,network_encryption.txt,shell_script/dbms/{profile}/DBM-027.sh,SSL/TLS 또는 DB 자체 암호화 통신 옵션을 적용하여 비밀번호 평문 전송을 방지한다.
DBM-028,28,DB 이중화 구성 시 비밀번호 평문 노출,oracle|mssql|mysql|postgresql|altibase|tibero,cloud_dbms,4,HIGH,DB HA/이중화 구성에서 복제 계정 비밀번호가 평문으로 설정 파일에 노출되는지 점검한다.,evidence_file,True,ha_config.txt,shell_script/dbms/{profile}/DBM-028.sh,"이중화 설정 파일에 비밀번호를 평문 저장하지 않고, 암호화된 인증 방식을 사용한다."
DBM-029,29,DBMS 서비스 구동 권한 적절성,oracle|mssql|mysql|postgresql|altibase|tibero,cloud_dbms,3,MEDIUM,DBMS 서비스가 최소 권한 계정(비root·비Administrator)으로 구동되는지 점검한다.,evidence_file,True,service_account.txt,shell_script/dbms/{profile}/DBM-029.sh,"DBMS 서비스를 전용 제한 계정으로 구동하고, root/Administrator 계정 사용을 금지한다."
DBM-030,30,xp_cmdshell 사용 비활성화,mssql,cloud_dbms|oracle|mysql|postgresql|altibase|tibero,4,HIGH,MSSQL의 xp_cmdshell 확장 저장 프로시저가 비활성화되어 있는지 점검한다.,evidence_file,True,xp_cmdshell_status.txt,shell_script/dbms/{profile}/DBM-030.sh,"xp_cmdshell을 비활성화(sp_configure 'xp_cmdshell', 0)하고 사용을 금지한다."
DBM-031,31,Registry Procedure 접근 권한 설정 적절성,mssql,cloud_dbms|oracle|mysql|postgresql|altibase|tibero,3,MEDIUM,"xp_regread, xp_regwrite 등 Registry Procedure 실행 권한이 최소화되어 있는지 점검한다.",evidence_file,True,registry_procedure_privileges.txt,shell_script/dbms/{profile}/DBM-031.sh,Registry Procedure 실행 권한을 DBA에게만 부여하고 PUBLIC에서 회수한다.
